鄉鎮市,年齡層,性別,人口數
大武鄉,0-4歲,男,-71
大武鄉,5-9歲,男,-89
大武鄉,10-14歲,男,-79
大武鄉,15-19歲,男,-98
大武鄉,20-24歲,男,-158
大武鄉,25-29歲,男,-146
大武鄉,30-34歲,男,-187
大武鄉,35-39歲,男,-188
大武鄉,40-44歲,男,-240
大武鄉,45-49歲,男,-253
大武鄉,50-54歲,男,-231
大武鄉,55-59歲,男,-238
大武鄉,60-64歲,男,-257
大武鄉,65-69歲,男,-241
大武鄉,70-74歲,男,-154
大武鄉,75-79歲,男,-77
大武鄉,80-84歲,男,-38
大武鄉,85-89歲,男,-17
大武鄉,90歲以上,男,-14
大武鄉,0-4歲,女,60
大武鄉,5-9歲,女,99
大武鄉,10-14歲,女,97
大武鄉,15-19歲,女,87
大武鄉,20-24歲,女,147
大武鄉,25-29歲,女,154
大武鄉,30-34歲,女,136
大武鄉,35-39歲,女,154
大武鄉,40-44歲,女,193
大武鄉,45-49歲,女,197
大武鄉,50-54歲,女,177
大武鄉,55-59歲,女,196
大武鄉,60-64歲,女,222
大武鄉,65-69歲,女,218
大武鄉,70-74歲,女,185
大武鄉,75-79歲,女,84
大武鄉,80-84歲,女,61
大武鄉,85-89歲,女,48
大武鄉,90歲以上,女,24
太麻里鄉,0-4歲,男,-125
太麻里鄉,5-9歲,男,-135
太麻里鄉,10-14歲,男,-158
太麻里鄉,15-19歲,男,-251
太麻里鄉,20-24歲,男,-327
太麻里鄉,25-29歲,男,-326
太麻里鄉,30-34歲,男,-384
太麻里鄉,35-39歲,男,-314
太麻里鄉,40-44歲,男,-436
太麻里鄉,45-49歲,男,-416
太麻里鄉,50-54歲,男,-484
太麻里鄉,55-59歲,男,-498
太麻里鄉,60-64歲,男,-484
太麻里鄉,65-69歲,男,-387
太麻里鄉,70-74歲,男,-301
太麻里鄉,75-79歲,男,-168
太麻里鄉,80-84歲,男,-126
太麻里鄉,85-89歲,男,-81
太麻里鄉,90歲以上,男,-54
太麻里鄉,0-4歲,女,122
太麻里鄉,5-9歲,女,125
太麻里鄉,10-14歲,女,130
太麻里鄉,15-19歲,女,160
太麻里鄉,20-24歲,女,271
太麻里鄉,25-29歲,女,315
太麻里鄉,30-34歲,女,296
太麻里鄉,35-39歲,女,270
太麻里鄉,40-44歲,女,327
太麻里鄉,45-49歲,女,381
太麻里鄉,50-54歲,女,371
太麻里鄉,55-59歲,女,385
太麻里鄉,60-64歲,女,439
太麻里鄉,65-69歲,女,380
太麻里鄉,70-74歲,女,339
太麻里鄉,75-79歲,女,243
太麻里鄉,80-84歲,女,169
太麻里鄉,85-89歲,女,124
太麻里鄉,90歲以上,女,64
成功鎮,0-4歲,男,-132
成功鎮,5-9歲,男,-192
成功鎮,10-14歲,男,-211
成功鎮,15-19歲,男,-220
成功鎮,20-24歲,男,-311
成功鎮,25-29歲,男,-367
成功鎮,30-34歲,男,-424
成功鎮,35-39歲,男,-371
成功鎮,40-44歲,男,-472
成功鎮,45-49歲,男,-601
成功鎮,50-54歲,男,-532
成功鎮,55-59歲,男,-623
成功鎮,60-64歲,男,-654
成功鎮,65-69歲,男,-510
成功鎮,70-74歲,男,-445
成功鎮,75-79歲,男,-280
成功鎮,80-84歲,男,-174
成功鎮,85-89歲,男,-95
成功鎮,90歲以上,男,-44
成功鎮,0-4歲,女,117
成功鎮,5-9歲,女,150
成功鎮,10-14歲,女,179
成功鎮,15-19歲,女,233
成功鎮,20-24歲,女,249
成功鎮,25-29歲,女,357
成功鎮,30-34歲,女,318
成功鎮,35-39歲,女,298
成功鎮,40-44歲,女,428
成功鎮,45-49歲,女,511
成功鎮,50-54歲,女,452
成功鎮,55-59歲,女,507
成功鎮,60-64歲,女,527
成功鎮,65-69歲,女,565
成功鎮,70-74歲,女,472
成功鎮,75-79歲,女,304
成功鎮,80-84歲,女,199
成功鎮,85-89歲,女,135
成功鎮,90歲以上,女,83
池上鄉,0-4歲,男,-122
池上鄉,5-9歲,男,-115
池上鄉,10-14歲,男,-124
池上鄉,15-19歲,男,-118
池上鄉,20-24歲,男,-208
池上鄉,25-29歲,男,-209
池上鄉,30-34歲,男,-245
池上鄉,35-39歲,男,-211
池上鄉,40-44歲,男,-266
池上鄉,45-49歲,男,-290
池上鄉,50-54歲,男,-324
池上鄉,55-59歲,男,-350
池上鄉,60-64歲,男,-346
池上鄉,65-69歲,男,-305
池上鄉,70-74歲,男,-242
池上鄉,75-79歲,男,-168
池上鄉,80-84歲,男,-88
池上鄉,85-89歲,男,-64
池上鄉,90歲以上,男,-45
池上鄉,0-4歲,女,139
池上鄉,5-9歲,女,79
池上鄉,10-14歲,女,111
池上鄉,15-19歲,女,109
池上鄉,20-24歲,女,150
池上鄉,25-29歲,女,240
池上鄉,30-34歲,女,231
池上鄉,35-39歲,女,188
池上鄉,40-44歲,女,214
池上鄉,45-49歲,女,271
池上鄉,50-54歲,女,297
池上鄉,55-59歲,女,273
池上鄉,60-64歲,女,301
池上鄉,65-69歲,女,279
池上鄉,70-74歲,女,276
池上鄉,75-79歲,女,197
池上鄉,80-84歲,女,143
池上鄉,85-89歲,女,109
池上鄉,90歲以上,女,81
卑南鄉,0-4歲,男,-226
卑南鄉,5-9歲,男,-213
卑南鄉,10-14歲,男,-228
卑南鄉,15-19歲,男,-307
卑南鄉,20-24歲,男,-478
卑南鄉,25-29歲,男,-601
卑南鄉,30-34歲,男,-592
卑南鄉,35-39歲,男,-551
卑南鄉,40-44歲,男,-560
卑南鄉,45-49歲,男,-661
卑南鄉,50-54歲,男,-742
卑南鄉,55-59歲,男,-801
卑南鄉,60-64歲,男,-804
卑南鄉,65-69歲,男,-596
卑南鄉,70-74歲,男,-475
卑南鄉,75-79歲,男,-265
卑南鄉,80-84歲,男,-144
卑南鄉,85-89歲,男,-102
卑南鄉,90歲以上,男,-72
卑南鄉,0-4歲,女,207
卑南鄉,5-9歲,女,212
卑南鄉,10-14歲,女,227
卑南鄉,15-19歲,女,313
